book_id,chap_id,term_str,n,tfidf_x,max_pos,dfidf,tfidf_y,syu_sentiment,origin,weighted_sentiment
18247,1,instantly,7,0.001357172534854913,RB,30.37895002019237,0.003959189055850503,-0.25,British,-0.00033929313371372825
84,30,integrity,1,0.06412897944934305,NN,18.27675914306277,0.0020032013339136485,0.5,British,0.032064489724671526
84,33,integrity,1,0.048738024381500725,NN,18.27675914306277,0.0020032013339136485,0.5,British,0.024369012190750362
84,56,integrity,1,0.009469823390187964,NN,18.27675914306277,0.0020032013339136485,0.5,British,0.004734911695093982
201,2,integrity,1,0.002885044852890729,NN,18.27675914306277,0.0020032013339136485,0.5,British,0.0014425224264453646
18247,1,integrity,3,0.0009798119626373894,NN,18.27675914306277,0.0020032013339136485,0.5,British,0.0004899059813186947
84,30,intense,1,0.046585119800220245,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.011646279950055061
84,34,intense,2,0.038206501131115886,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.009551625282778971
84,41,intense,1,0.018832282472429462,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.004708070618107366
84,48,intense,1,0.013410867821275527,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.0033527169553188817
84,49,intense,1,0.027374761119717053,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.006843690279929263
84,56,intense,1,0.006879149815058431,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.0017197874537646077
201,3,intense,1,0.008910576606082396,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.002227644151520599
5230,21,intense,1,0.029179690424313783,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.007294922606078446
5230,31,intense,1,0.01045414105752974,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.002613535264382435
18247,1,intense,24,0.005694106851921131,JJ,26.55351828612554,0.003262336461899423,-0.25,British,-0.0014235267129802827
84,30,interest,1,0.041970481101381754,NN,28.707809073345125,0.004547104496727945,0.5,British,0.020985240550690877
84,32,interest,1,0.018123616839233032,NN,28.707809073345125,0.004547104496727945,0.5,British,0.009061808419616516
84,33,interest,1,0.03189756563705014,NN,28.707809073345125,0.004547104496727945,0.5,British,0.01594878281852507
84,35,interest,1,0.015237690590947518,NN,28.707809073345125,0.004547104496727945,0.5,British,0.007618845295473759
84,47,interest,2,0.030475381181895037,NN,28.707809073345125,0.004547104496727945,0.5,British,0.015237690590947518
84,50,interest,2,0.03147786082603632,NN,28.707809073345125,0.004547104496727945,0.5,British,0.01573893041301816
84,51,interest,3,0.04571307177284255,NN,28.707809073345125,0.004547104496727945,0.5,British,0.022856535886421274
84,53,interest,1,0.010538843272153129,NN,28.707809073345125,0.004547104496727945,0.5,British,0.0052694216360765645
84,56,interest,2,0.012395427061029847,NN,28.707809073345125,0.004547104496727945,0.5,British,0.006197713530514923
201,2,interest,2,0.0037763495229341123,NN,28.707809073345125,0.004547104496727945,0.5,British,0.0018881747614670561
5230,5,interest,2,0.03737995973091813,NN,28.707809073345125,0.004547104496727945,0.5,British,0.018689979865459064
18247,1,interest,35,0.007481335757438938,NN,28.707809073345125,0.004547104496727945,0.5,British,0.003740667878719469
84,30,kill,1,0.04417277727829157,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.03312958295871868
84,42,kill,1,0.016898310770890063,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.012673733078167548
5230,1,kill,1,0.021337697498835757,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.01600327312412682
5230,16,kill,1,0.034970115345314155,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.026227586508985615
5230,19,kill,1,0.05595218455250266,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.04196413841437699
5230,24,kill,2,0.0324883652240338,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.024366273918025348
5230,37,kill,1,0.015167760872666382,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.011375820654499786
5230,39,kill,2,0.07092530436232732,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.05319397827174549
5230,41,kill,1,0.09684031941779306,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.0726302395633448
5230,44,kill,1,0.009325364092083776,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.006994023069062832
18247,1,kill,1,0.0002249685762028788,VB,27.696331353488816,0.0063222725077927205,-0.75,British,-0.0001687264321521591
84,30,kind,1,0.01963682330477797,NN,32.45966892279799,0.005636912061544895,0.5,British,0.009818411652388986
84,33,kind,1,0.01492398571163126,NN,32.45966892279799,0.005636912061544895,0.5,British,0.00746199285581563
84,35,kind,1,0.007129292537403468,NN,32.45966892279799,0.005636912061544895,0.5,British,0.003564646268701734
84,37,kind,3,0.02729997386274011,NN,32.45966892279799,0.005636912061544895,0.5,British,0.013649986931370055
84,38,kind,3,0.027523744140303553,NN,32.45966892279799,0.005636912061544895,0.5,British,0.013761872070151776
84,39,kind,1,0.00543348994355507,NN,32.45966892279799,0.005636912061544895,0.5,British,0.002716744971777535
84,40,kind,1,0.007562830597110436,NN,32.45966892279799,0.005636912061544895,0.5,British,0.003781415298555218
84,41,kind,1,0.007938290272144287,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0039691451360721434
84,43,kind,1,0.005110954010832623,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0025554770054163115
84,44,kind,1,0.007614278424301663,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0038071392121508314
84,45,kind,1,0.008415781416333416,NN,32.45966892279799,0.005636912061544895,0.5,British,0.004207890708166708
84,47,kind,2,0.014258585074806936,NN,32.45966892279799,0.005636912061544895,0.5,British,0.007129292537403468
84,48,kind,1,0.005653024890769417,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0028265124453847085
84,49,kind,1,0.01153916421002417,NN,32.45966892279799,0.005636912061544895,0.5,British,0.005769582105012085
84,50,kind,1,0.007363808739291739,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0036819043696458696
84,51,kind,1,0.007129292537403468,NN,32.45966892279799,0.005636912061544895,0.5,British,0.003564646268701734
84,52,kind,1,0.004952650125541347,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0024763250627706733
84,53,kind,6,0.02958499370147166,NN,32.45966892279799,0.005636912061544895,0.5,British,0.01479249685073583
84,54,kind,2,0.014442566817707671,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0072212834088538356
84,55,kind,2,0.015764773639047106,NN,32.45966892279799,0.005636912061544895,0.5,British,0.007882386819523553
84,56,kind,1,0.0028997381564050376,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0014498690782025188
201,2,kind,11,0.009717670254219251,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0048588351271096255
201,3,kind,2,0.007512073344780835,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0037560366723904176
201,4,kind,2,0.004115069589604207,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0020575347948021037
5230,1,kind,1,0.009485584138748681,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0047427920693743405
5230,4,kind,1,0.009026604261067293,NN,32.45966892279799,0.005636912061544895,0.5,British,0.004513302130533647
5230,35,kind,2,0.01634013034120211,NN,32.45966892279799,0.005636912061544895,0.5,British,0.008170065170601055
5230,41,kind,1,0.04304995878355171,NN,32.45966892279799,0.005636912061544895,0.5,British,0.021524979391775854
18247,1,kind,37,0.0037003270505518893,NN,32.45966892279799,0.005636912061544895,0.5,British,0.0018501635252759446
84,30,kindliness,1,0.10486456006140205,NN,5.977279923499917,0.001664516826371461,1.0,British,0.10486456006140205
84,30,like,1,0.005849539188161259,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0029247695940806295
84,32,like,2,0.005051874753411997,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0025259373767059987
84,33,like,1,0.004445649783002557,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0022228248915012786
84,34,like,4,0.009594927589214153,IN,16.67118668625959,0.006484649605397291,0.5,British,0.004797463794607076
84,36,like,5,0.01225822550460264,IN,16.67118668625959,0.006484649605397291,0.5,British,0.00612911275230132
84,37,like,1,0.002710762062806438,IN,16.67118668625959,0.006484649605397291,0.5,British,0.001355381031403219
84,38,like,1,0.002732981423976982,IN,16.67118668625959,0.006484649605397291,0.5,British,0.001366490711988491
84,39,like,2,0.00323712362839992,IN,16.67118668625959,0.006484649605397291,0.5,British,0.00161856181419996
84,40,like,3,0.006758589197132267,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0033792945985661334
84,41,like,2,0.004729414662768678,IN,16.67118668625959,0.006484649605397291,0.5,British,0.002364707331384339
84,42,like,3,0.006713229538091109,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0033566147690455546
84,43,like,1,0.001522482802398136,IN,16.67118668625959,0.006484649605397291,0.5,British,0.000761241401199068
84,45,like,3,0.007520836099064477,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0037604180495322383
84,47,like,2,0.004247436098410087,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0021237180492050434
84,48,like,4,0.00673583300454933,IN,16.67118668625959,0.006484649605397291,0.5,British,0.003367916502274665
84,49,like,2,0.006874716159282305,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0034373580796411523
84,50,like,1,0.0021935771955604723,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0010967885977802361
84,51,like,2,0.004247436098410087,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0021237180492050434
84,52,like,8,0.01180261004336962,IN,16.67118668625959,0.006484649605397291,0.5,British,0.00590130502168481
84,53,like,5,0.007344135104079115,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0036720675520395575
84,54,like,1,0.0021511208627431728,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0010755604313715864
84,55,like,2,0.004696108925706927,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0023480544628534635
84,56,like,7,0.006046544393980162,IN,16.67118668625959,0.006484649605397291,0.5,British,0.003023272196990081
201,2,like,8,0.002105280086662616,IN,16.67118668625959,0.006484649605397291,0.5,British,0.001052640043331308
201,3,like,3,0.0033566147690455546,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0016783073845227773
201,4,like,8,0.004903290201841055,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0024516451009205277
5230,1,like,3,0.00847687458623369,IN,16.67118668625959,0.006484649605397291,0.5,British,0.004238437293116845
5230,2,like,7,0.02244198207765714,IN,16.67118668625959,0.006484649605397291,0.5,British,0.01122099103882857
5230,4,like,4,0.010755604313715864,IN,16.67118668625959,0.006484649605397291,0.5,British,0.005377802156857932
5230,5,like,10,0.026048729197280608,IN,16.67118668625959,0.006484649605397291,0.5,British,0.013024364598640304
5230,9,like,1,0.003058933336928365,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0015294666684641826
5230,11,like,1,0.0017548617564483778,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0008774308782241889
5230,14,like,6,0.02817665355424156,IN,16.67118668625959,0.006484649605397291,0.5,British,0.01408832677712078
5230,16,like,1,0.004630885190627663,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0023154425953138317
5230,18,like,3,0.00840564034601324,IN,16.67118668625959,0.006484649605397291,0.5,British,0.00420282017300662
5230,19,like,1,0.0074094163050042626,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0037047081525021313
5230,21,like,3,0.01099199122170962,IN,16.67118668625959,0.006484649605397291,0.5,British,0.00549599561085481
5230,23,like,3,0.020413697983175008,IN,16.67118668625959,0.006484649605397291,0.5,British,0.010206848991587504
5230,24,like,4,0.008604483450972691,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0043022417254863455
5230,25,like,5,0.011497370128454889,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0057486850642274444
5230,27,like,2,0.006804565994391669,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0034022829971958345
5230,31,like,6,0.007876151190358862,IN,16.67118668625959,0.006484649605397291,0.5,British,0.003938075595179431
5230,33,like,2,0.005699551003849433,IN,16.67118668625959,0.006484649605397291,0.5,British,0.0028497755019247163
5230,35,like,6,0.014602499287234678,IN,16.67118668625959,0.006484649605397291,0.5,British,0.007301249643617339
